,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Pearson ,7.6,1,7.6,2,7.1,3,6.9,2,6.6,3,6.7,2,6.6,3,6,3,6.7,2,61.7,2,Media,2011
Reed Elsevier ,6.3,5,6.5,4,6.5,6,6.3,3,6.8,2,5.2,7,5,9,5.2,4,5.3,7,53.2,4,Media,2011
United Business Media* ,6.7,3,5.6,7,6.1,8,5.6,8,5.9,6,5.9,4,5.6,4,5,5,5.9,4,52.1,6,Media,2011
AMEC ,7.8,3,7.4,3,7.4,2,6.6,4,7.4,3,5.7,5,5.8,4,5.9,3,6.7,4,60.8,3,Extractive,2011
BG Group ,8.1,2,8.3,2,7.4,3,7.3,2,8.1,1,7.1,2,7,2,6.1,2,7.8,1,67.1,2,Extractive,2011
BP ,5.6,9,6.1,7,6,8,5.3,8,6.8,5,5.6,6,4.6,8,4.2,8,4.7,10,48.8,7,Extractive,2011
Cairn Energy ,6,8,6.1,6,4.9,9,5.1,9,4.5,10,5.3,7,4.3,9,4,9,4.9,8,45.1,9,Extractive,2011
Essar Energy ,5,10,4.6,10,4.6,10,4,10,4.8,9,4.8,10,3.6,10,3.8,10,4.8,9,40,10,Extractive,2011
Petrofac ,7,5,7.1,4,6.7,4,6.9,3,7.3,4,7,3,6,3,5.6,4,7.1,3,60.7,4,Extractive,2011
Premier Oil ,6.1,7,5.4,9,6.3,7,5.4,7,5.6,8,4.9,9,4.9,6,4.8,7,5.5,7,48.7,8,Extractive,2011
Royal Dutch Shell ,8.2,1,9.1,1,8,1,7.7,1,8.1,2,8,1,7.1,1,6.7,1,7.3,2,70.2,1,Extractive,2011
Tullow Oil ,7.6,4,6.3,5,6.3,5,6.3,5,6.7,6,5.9,4,5.8,4,5.1,6,6.4,5,56.4,5,Extractive,2011
Wood (J) ,6.2,6,5.9,8,6.3,5,5.7,6,5.7,7,5.1,8,4.7,7,5.3,5,6,6,50.9,6,Extractive,2011
British Land Company ,5.8,9,7.9,3,6.9,6,5.8,8,6.9,7,5.8,8,6,7,7.9,1,6.5,8,59.4,7,Property,2011
Capital & Counties  ,7,6,5.9,9,6.8,7,7,5,7.3,5,7.4,2,6.5,6,6,9,6.6,7,60.5,6,Property,2011
Capital Shopping  Centres  ,5.1,10,5.7,10,6.3,9,5.4,10,5.3,10,4.8,10,5.3,9,6.3,6,5.8,10,49.9,10,Property,2011
Derwent London ,8.6,1,7.8,4,8.1,1,8,1,8.1,1,7.8,1,7.9,1,6.7,3,7.9,2,70.9,1,Property,2011
Great Portland Estates ,8.5,2,7.6,6,7.7,3,7.1,4,7.6,3,7,4,6.9,4,6.4,5,7.7,3,66.6,3,Property,2011
Hammerson ,6.7,7,7.7,5,7.2,5,6.9,6,6.9,6,6.1,7,6.6,5,6.5,4,6.8,6,61.5,5,Property,2011
Land Securities ,7.1,5,7.9,2,7.3,4,7.3,3,7.4,4,6.8,5,7.1,3,7.8,2,7,5,65.8,4,Property,2011
London & Stamford Property  ,7.2,4,7.5,7,6.4,8,6.9,6,6.8,8,6.4,6,4.9,10,5.4,10,7.3,4,58.8,8,Property,2011
Segro  ,6.1,8,6.7,8,6.1,10,5.8,8,6.1,9,5.5,9,5.4,8,6,8,6.3,9,54.1,9,Property,2011
Shaftesbury ,7.7,3,8.1,1,7.9,2,7.8,2,7.9,2,7.1,3,7.2,2,6.3,6,8.2,1,68.2,2,Property,2011
Domino?s Pizza (UK) ,6.9,3,6.8,4,6.7,4,6.1,5,6.2,6,6.4,3,7.4,2,5.2,6,6.3,3,58,3,Restaurants,2011
Enterprise Inns ,4.7,10,3.6,9,4.3,9,4.4,9,3.3,10,3.5,10,3.1,10,4.1,10,3.4,10,34.4,10,Restaurants,2011
Gondola Group ,5.9,7,5.3,7,6.3,6,5.8,7,5.4,7,6.4,3,6.1,4,5.3,5,5.7,7,52.2,7,Restaurants,2011
Greene King ,6.5,5,6.9,3,6.3,6,6.2,4,6.3,5,5.7,7,5,8,5,7,6,5,53.9,5,Restaurants,2011
Marstons ,6.8,4,6.5,5,6.4,5,6.5,3,6.9,3,6.2,5,5.7,6,5.8,3,6.1,4,56.9,4,Restaurants,2011
McDonald?s Restaurants UK ,7.6,1,7.8,1,7.6,1,7.3,1,7.3,2,7.3,1,8.1,1,7,1,7.1,2,67.1,1,Restaurants,2011
Mitchells & Butlers ,5.3,8,5.2,8,6.8,3,5.9,6,6.6,4,5.9,6,5.9,5,5.4,4,5.9,6,52.9,6,Restaurants,2011
