,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
10,Banking,Standard Chartered,6.5,3,6.5,3,6,4,6.3,4,6.1,4,5.3,4,4.6,7,4.1,4,5.1,5,50.6,4,2009
104,Insurance,Standard Life,5.4,7,6.6,5,6.1,5,5,8,4.6,8,5.7,6,5.5,5,5.2,8,5.4,6,49.6,6,2009
76,Food,Tate & Lyle,6,6,6.7,4,6,4,6.7,3,5.6,4,4.7,9,5.3,7,6.9,3,5.7,5,53.6,4,2009
45,Home construction,Taylor Wimpey,4.1,8,2.7,9,5,9,3.5,9,4.3,8,4.8,8,4.8,6,5.2,8,2.9,10,37.1,10,2009
189,Software,Telecity Gp.,5.5,10,6.3,6,7.5,2,5.8,7,5.3,8,6,4,5.8,8,6.8,1,5.5,8,54.3,6,2009
46,Home construction,Telford Homes,4.1,7,3.6,6,4.9,10,4.1,7,4.3,8,4.9,6,3.5,10,5,9,3.8,7,38.1,8,2009
161,Food and personal retailers,Tesco,8.4,1,9,1,7.1,4,8.1,1,8.4,1,7.8,1,7.7,1,7,2,7.8,1,71.4,1,2009
92,Leisure,Thomas Cook Group,5.8,5,6.3,5,5.6,6,5.4,5,5.5,4,5.4,6,6.1,3,5,4,5.3,5,50.3,5,2009
113,Media,Thomson Reuters,7.4,2,7.2,2,7.9,2,6.8,2,6.6,3,7.1,2,6.4,3,5.6,4,6.3,2,61.4,2,2009
66,Engineering,Tomkins,6.3,7,5.6,9,5.8,7,5.1,8,5.2,9,5.7,6,5.4,7,6,4,5,10,50,7,2009
171,General retailers,Topps Tiles,5.5,7,3.8,9,5.5,7,4,9,4.5,6,4.2,9,4.3,7,4,7,4.3,7,40.2,9,2009
19,Building materials,Travis Perkins,6.6,2,6.5,3,6.7,5,6,4,6.1,3,5.5,5,5.5,5,4.9,9,5.7,4,53.4,4,2009
93,Leisure,Tui Travel,6.5,3,6.1,7,5.1,8,5.6,4,5.4,5,6,2,5.1,6,5.4,3,5.4,4,50.6,4,2009
122,Extractive,Tullow Oil,8.3,1,6.3,6,7.5,4,6.5,7,7.7,2,7,3,5.7,5,4.7,9,7.5,4,61.2,5,2009
55,Aero and defence,Ultra Electronics,7.5,3,7.5,4,7.9,3,7.3,4,7.5,2,7.3,3,6.7,2,5.9,5,7,2,64.7,4,2009
56,Aero and defence,UMECO,5.4,10,6,7,6.2,10,5.6,10,5.4,9,5.6,10,6,8,5.6,9,5.6,9,51.4,10,2009
77,Food,Unilever,7.3,2,8.4,1,7.1,2,7.5,2,7.1,2,6.6,2,7.4,2,7.3,2,6.4,2,65,2,2009
114,Media,United Business Media,6,6,6.5,4,5.6,9,5.5,6,5.6,7,5.5,8,4.6,9,5.1,7,5.6,6,50,6,2009
236,Utilities,United Utilities,5.7,6,6.9,6,5.2,9,5.7,5,5.8,7,5.5,6,5.2,7,6.9,1,5.7,9,52.5,6,2009
25,Chemicals,Victrex,7.2,2,6.4,2,7.5,2,6.5,2,6.8,2,7.4,2,6.8,2,5.9,3,7,2,61.5,2,2009
